region_id,Persons_Total_Has_need_for_assistance,Persons_Total_Does_not_have_need_for_assistance,Persons_Total_Need_for_assistance_not_stated,Persons_Total_Total
1104314,87,104,4,195
1104315,16,351,27,394
1104316,18,303,7,328
1104317,31,329,24,384
1104318,18,284,19,321
1104319,9,396,18,423
1104320,20,388,20,428
1104321,60,269,6,335
1104322,11,287,9,307
1104323,24,408,31,463
1104324,27,499,9,535
1104325,132,289,15,436
1104326,21,568,15,604
1104327,4,370,7,381
1104328,6,250,12,268
1104329,13,258,12,283
1104330,18,523,36,577
1104401,13,302,8,323
1104402,15,344,15,374
1104403,17,220,3,240
1104404,34,580,17,631
1104405,3,271,6,280
1104406,15,270,0,285
1104407,25,397,18,440
1104408,18,266,15,299
1104409,18,321,8,347
1104410,90,122,9,221
1104411,111,191,8,310
1104412,23,503,19,545
1104413,0,0,0,0
1104414,15,448,6,469
1104415,21,387,3,411
1104416,44,608,14,666
1104417,26,458,41,525
1104418,0,0,0,0
1104419,15,438,13,466
1104420,109,177,8,294
1104421,35,224,21,280
1104422,12,432,9,453
1104423,22,434,21,477
1104424,36,255,4,295
1104425,12,199,6,217
1104426,14,346,10,370
1104427,12,215,27,254
1104428,13,350,8,371
1104429,18,469,15,502
1104430,20,252,15,287
1104431,6,282,12,300
1104432,3,236,30,269
1104433,15,302,27,344
1104434,41,549,31,621
1104435,9,302,6,317
1104436,27,427,6,460
1104437,3,268,15,286
1104438,9,367,14,390
1104439,15,356,13,384
1104440,184,157,16,357
1104441,17,329,9,355
1104442,15,363,10,388
1104443,9,203,22,234
1104444,32,299,7,338
1104445,43,356,24,423
1104446,72,503,37,612
1104447,58,394,49,501
1104448,16,326,18,360
1104449,25,299,18,342
1104450,9,369,6,384
1104451,15,377,21,413
1104452,6,197,3,206
1104453,17,332,12,361
1104454,9,184,6,199
1104455,44,381,9,434
1104456,9,373,19,401
1104457,4,329,9,342
1104458,12,319,21,352
1104459,10,349,13,372
1104501,28,397,11,436
1104502,22,301,18,341
1104503,0,280,4,284
1104504,24,517,20,561
1104505,36,476,41,553
1104506,38,524,36,598
1104507,37,481,24,542
1104508,16,336,15,367
1104509,18,351,30,399
1104510,40,562,20,622
1104511,37,524,45,606
1104512,33,364,28,425
1104513,35,606,35,676
1104514,9,444,21,474
1104515,10,313,9,332
1104516,33,532,22,587
1104517,12,258,13,283
1104518,35,568,34,637
1104519,17,275,12,304
1104520,0,3,0,3
1104521,36,382,26,444
1104522,16,361,8,385
1104523,24,256,18,298
1104524,33,541,40,614
1104601,16,360,23,399
1104602,15,249,8,272
1104603,35,404,12,451
1104604,34,378,27,439
1104605,18,213,12,243
